업종,상호,시설주소(지번),시설주소(도로명),데이터기준일자
수영장업,잠실실내수영장,서울특별시 송파구 잠실동 10번지 ,"서울특별시 송파구 올림픽로 25 (잠실동, 종합운동장)",2020-04-13
수영장업,롯데호텔 실내수영장,서울특별시 송파구 잠실동 40-1번지 ,"서울특별시 송파구 올림픽로 240, 5층 (잠실동, 롯데호텔)",2020-04-13
수영장업,한강공원 잠실수영장,서울특별시 송파구 잠실동 1-1번지 한강공원 잠실수영장 ,"서울특별시 송파구 한가람로 65 (잠실동, 한강사업본부 잠실안내센터)",2020-04-13
수영장업,아쿠아키즈,서울특별시 송파구 잠실동 252-11번지 ,"서울특별시 송파구 삼전로 지하 95 (잠실동, 태성빌딩)",2020-04-13
수영장업,에이치투오 어린이수영장,서울특별시 송파구 방이동 227-9번지 지하1층 ,서울특별시 송파구 오금로 233 (방이동),2020-04-13
수영장업,키즈마린 워터파크,서울특별시 송파구 잠실동 251번지 지하1층 ,서울특별시 송파구 삼전로 81 (잠실동),2020-04-13
수영장업,(주)스위스키즈베어,서울특별시 송파구 삼전동 130-5번지 지층 ,서울특별시 송파구 삼학사로 99 (삼전동),2020-04-13
수영장업,더블유엘지 문정,서울특별시 송파구 문정동 1번지 삼성래미안상가 지하1층 ,"서울특별시 송파구 문정로 83 (문정동, 문정래미안아파트)",2020-04-13
수영장업,키즈웨일즈,서울특별시 송파구 가락동 164-18번지 ,서울특별시 송파구 동남로 207 (가락동),2020-04-13
수영장업,엘에스(LS),서울특별시 송파구 풍납동 402-4번지 ,"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)",2020-04-13
수영장업,킨더스윔,서울특별시 송파구 오금동 11번지 ,"서울특별시 송파구 양재대로72길 17 (오금동, 현대백조아파트)",2020-04-13
수영장업,비바스포츠센타,서울특별시 송파구 방이동 67-2번지 ,"서울특별시 송파구 오금로15길 5-12 (방이동, 정환빌딩)",2020-04-13
수영장업,블루라군,서울특별시 송파구 가락동 140번지 가락쌍용아파트 ,"서울특별시 송파구 동남로 189, 쌍용프라자 지하2층 (가락동)",2020-04-13
체육도장업,용인대 태권도장,서울특별시 송파구 풍납동 506번지 동아한가람아파트 ,"서울특별시 송파구 한가람로16길 7, 205,206호 (풍납동)",2020-04-13
체육도장업,통일태권도장,서울특별시 송파구 잠실동 101-1번지 상가 ,서울특별시 송파구 올림픽로4길 40 (잠실동),2020-04-13
체육도장업,우일태권도장,서울특별시 송파구 풍납동 264-2번지 우일(아) ,서울특별시 송파구 토성로 38-4 (풍납동),2020-04-13
체육도장업,태비태권도,서울특별시 송파구 방이동 89-11번지 ,"서울특별시 송파구 양재대로 1222 (방이동, 올림픽프라자)",2020-04-13
체육도장업,마천체육관,서울특별시 송파구 마천동 77-2번지 ,서울특별시 송파구 성내천로 214 (마천동),2020-04-13
체육도장업,올림픽검도교실(올림픽제1체육관스포츠교실),서울특별시 송파구 방이동 88-2번지 ,서울특별시 송파구 올림픽로 424 (방이동),2020-04-13
체육도장업,송무검도관,서울특별시 송파구 석촌동 284-5번지 ,서울특별시 송파구 송파대로43길 16 (석촌동),2020-04-13
